date,20240204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,北区シングルス一般の部予選2試合目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,赤羽体育館,35.77538889,139.73554,,,,,,,,,,,,,,,,,,
opponent,中ペン,裏,裏,,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,,
S,自分,1,,2,,,,,,,,,,1,1,,,,,,
R,相手,,2,,5,2,2,1,1,2,2,1,5,,,3,,,,,
Action,,FtS,FuS,BkP,BtB,FuS,Sm,BtP,BtP,FtS,FtS,BtP,BtB,FtS,FuS,FtM,,,,,
Score,,1-0,1-1,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,3-10,4-10,4-11,,,,,
,,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,,
R,自分,,,,1,2,2,1,,,,,,,,1,,,,,
S,相手,3,5,2,,,,,2,1,3,2,2,1,1,,2,,,,
Action,,BtB,BtB,FuS,FuS,BkP,BuC,FuS,FuS,BkP,BtB,FuS,BtD,BkP,BkP,FtS,FtS,,,,
Score,,0-1,0-2,0-3,1-3,2-3,3-3,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,5-10,5-11,,,,
,,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,,
S,自分,,,2,,,9,,4,,1,,2,1,,2,,1,,4,
R,相手,2,2,,3,4,,3,,6,,1,,,4,,1,,2,,3,
Action,,FtS,FuS,BkP,BkD,FuS,FtD,BtB,BuB,BuB,BuS,BkP,BkP,BuS,BkB,BkP,BkP,BuS,BtD,BtB,BkP,
Score,,0-1,0-2,1-2,1-3,1-4,2-4,2-5,3-5,3-6,4-6,4-7,5-7,6-7,6-8,7-8,7-9,8-9,8-10,9-10,9-11,
,,,,,,,,,,,,,,,,,,,,,
