date,20240601,,,,,,,,,,,,,,,,,,,
title,川口市民選手権決勝T1回戦目,,,,,,,,,,,,,,,,,,,
place,川口武道センター,35.8216491,139.7118467,,,,,,,,,,,,,,,,,
opponent,シェーク,裏,表,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,
R,自分,1,3,8,,3,3,2,2,7,,2,,3,3,,,,,
S,相手,,,,3,,,,,,2,,3,,,,,,,
Action,,FuS,BtP,FtD,BtP,BkT,BkT,BtD,FuT,FtB,BtD,BtP,BtP,BkP,BkT,,,,,
Score,,1-0,2-0,3-0,3-1,4-1,5-1,6-1,7-1,8-1,8-2,9-2,9-3,10-3,11-3,,,,,
,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,
R,自分,4,,,,2,,,5,,7,3,,,6,,7,,4,
S,相手,,5,2,2,,7,2,,1,,,6,7,,6,,5,,2
Action,,BtD,BtB,FtM,BkP,BkP,FuT,FtB,FtM,BuT,BkP,FtL,FkT,FtB,FtM,BkP,BuT,BtB,FtD,BtP
Score,,1-0,1-1,1-2,1-3,2-3,2-4,2-5,3-5,3-6,4-6,5-6,5-7,5-8,6-8,6-9,7-9,7-10,8-10,8-11
,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,
R,自分,7,,10,2,5,9,2,2,3,,2,,,5,,,5,,
S,相手,,4,,,,,,,,4,,3,2,,1,9,,,
Action,,FtM,BtD,BtP,FuT,FtP,FtM,BkP,FuT,BkP,BkP,BkT,FtM,BuS,FtM,BkT,FtL,FtP,,
Score,,1-0,1-1,2-1,3-1,4-1,5-1,6-1,7-1,8-1,8-2,9-2,9-3,9-4,10-4,10-5,10-6,11-6,,
,,,,,,,,,,,,,,,,,,,,
game,4,,,,,,,,,,,,,,,,,,,
R,自分,,2,1,1,,8,5,,,4,,,4,,3,3,,10,3
S,相手,5,,,,3,,,4,5,,6,4,,1,,,7,,
Action,,BtB,BkT,FsS,FsS,BtB,BuB,BkP,BtD,BtP,BkB,BuT,BtP,FtM,BkT,BkP,FtM,BkB,FtM,BkP
Score,,0-1,1-1,2-1,3-1,3-2,4-2,5-2,5-3,5-4,6-4,6-5,6-6,7-6,7-7,8-7,9-7,9-8,10-8,11-8
,,,,,,,,,,,,,,,,,,,,
