date,20240204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,北区シングルス一般の部順位別2試合目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opponent,シェーク,裏,粒,,,,,,,,,,,,,,,,,,
game,1,,,,,,,,,,,,,,,,,,,,
R,自分,,1,6,8,,1,,6,3,,,6,11,1,,4,,13,,
S,相手,3,,,,4,,1,,,6,3,,,,3,,4,,,
Action,,FsD,FuS,FtM,BtD,FtM,FuS,FtM,BkP,BkP,BtB,BkP,FsD,BkP,FsS,BkP,BuC,BuD,BtP,,
Score,,0-1,1-1,2-1,3-1,3-2,4-2,4-3,5-3,6-3,6-4,6-5,7-5,8-5,9-5,9-6,10-6,10-7,11-7,,
,,,,,,,,,,,,,,,,,,,,,
game,2,,,,,,,,,,,,,,,,,,,,
R,自分,12,,,1,4,,,,2,,,5,4,,,,,,,
S,相手,,3,6,,,1,4,10,,1,2,,,15,12,6,1,,,
Action,,BkL,BkP,BtM,BuS,BtB,FtD,FuD,FuD,BkP,BtP,BkP,FtM,BtP,BtL,FtM,FsD,BtP,,,
Score,,1-0,1-1,1-2,2-2,3-2,3-3,3-4,3-5,4-5,4-6,4-7,5-7,6-7,6-8,6-9,6-10,6-11,,,
,,,,,,,,,,,,,,,,,,,,,
game,3,,,,,,,,,,,,,,,,,,,,
R,自分,,,6,6,,,4,,,3,,,3,5,8,10,9,,,
S,相手,10,4,,,2,2,,15,8,,3,5,,,,,,12,7,5
Action,,FtD,BtL,BtM,BtP,FtD,FtD,BtP,BtL,FtM,BkP,BkP,BtP,BkP,FtM,BkD,BtP,BtP,BsD,BkP,BtB
Score,,0-1,0-2,1-2,2-2,2-3,2-4,3-4,3-5,3-6,4-6,4-7,4-8,5-8,6-8,7-8,8-8,9-8,9-9,9-10,9-11
,,,,,,,,,,,,,,,,,,,,,
game,4,,,,,,,,,,,,,,,,,,,,
R,自分,2,6,7,,2,,,11,4,8,,1,,4,1,,4,,,
S,相手,,,,4,,3,3,,,,4,,3,,,2,,,,
Action,,BkP,BtB,FtM,BtP,BkP,BkC,BkC,FtM,BkP,FsD,FtM,BuS,BuD,BtP,FtS,BuD,BtD,,,
Score,,1-0,2-0,3-0,3-1,4-1,4-2,4-3,5-3,6-3,7-3,7-4,8-4,8-5,9-5,10-5,10-6,11-6,,,
,,,,,,,,,,,,,,,,,,,,,
game,5,,,,,,,,,,,,,,,,,,,,
R,自分,,,,,1,,2,,3,1,,,3,5,2,,5,,2,
S,相手,2,14,15,5,,2,,5,,,3,7,,,,1,,4,,3
Action,,BkD,FuC,BtB,BkC,FtS,FtM,BkP,BtP,BkP,FuS,BtP,BtP,BtD,BkB,BkP,FuD,BtP,FtD,BkD,BkL
Score,,0-1,0-2,0-3,0-4,1-4,1-5,2-5,2-6,3-6,4-6,4-7,4-8,5-8,6-8,7-8,7-9,8-9,8-10,9-10,9-11
,,,,,,,,,,,,,,,,,,,,,
